exam_id,course,acadorg,enrollment,modality,prefdate,prefdate2,prefdate3
1-MATH-2930-LEC-4910565-1,MATH 2930,MATH,332,Online,2021-03-02,2021-03-04,2021-02-25
1-MATH-2930-LEC-4910565-2,MATH 2930,MATH,332,Online,2021-04-01,2021-04-06,2021-03-30
1-MATH-2930-LEC-4910565-3,MATH 2930,MATH,332,Online,2021-04-29,2021-05-04,2021-04-22
1-MATH-2940-LEC-1773944-2,MATH 2940,MATH,457,Online,2021-04-20,2021-04-22,2021-04-15
1-MATH-3110-LEC-5225943-1,MATH 3110,MATH,80,Online,2021-03-16,2021-03-18,2021-03-23
1-MATH-3110-LEC-5225943-2,MATH 3110,MATH,80,Online,2021-04-20,2021-04-22,2021-04-29
1-MATH-3340-LEC-1013623-1,MATH 3340,MATH,40,Online,2021-03-16,2021-03-04,2021-03-18
1-MATH-3340-LEC-1013623-2,MATH 3340,MATH,40,Online,2021-04-20,2021-04-15,2021-04-22
1-MATH-3360-LEC-1094000-1,MATH 3360,MATH,80,Online,2021-03-18,2021-03-16,2021-03-23
1-MATH-3360-LEC-1094000-2,MATH 3360,MATH,80,Online,2021-04-22,2021-04-20,2021-04-29
1-MATH-4310-LEC-5226216-1,MATH 4310,MATH,58,Online,2021-03-16,2021-03-18,2021-03-04
1-MATH-4310-LEC-5226216-2,MATH 4310,MATH,58,Online,2021-04-20,2021-04-22,2021-04-15
1-MATH-4740-LEC-3116701-1,MATH 4740,MATH,45,Online,2021-04-01,2021-03-30,2021-04-06
1-MSE-2060-LEC-2246653-1,MSE 2060,MSE,37,In person,2021-03-23,2021-03-25,2021-03-18
1-MSE-2060-LEC-2246653-2,MSE 2060,MSE,37,In person,2021-04-29,2021-04-22,2021-05-04
1-MSE-2620-LEC-1310132-1,MSE 2620,MSE,37,In person,2021-03-25,2021-03-23,2021-03-30
1-MSE-2620-LEC-1310132-2,MSE 2620,MSE,37,In person,2021-04-22,2021-04-20,2021-04-29
1-MSE-3050-LEC-2136853-1,MSE 3050,MSE,28,In person,2021-03-25,2021-03-23,2021-03-30
1-MSE-4610-LEC-1292594-1,MSE 4610,MSE,36,Online,2021-04-15,2021-04-13,2021-04-20
1-MSE-5120-LEC-1021407-1,MSE 5120,MSE,30,In person,2021-03-30,2021-04-01,2021-03-25
1-NTRES-1201-LEC-1266548-1,NTRES 1201,NTRES,48,Online,2021-03-04,2021-03-16,2021-03-02
1-NS-2600-LEC-1859921-1,NS 2600,NUTRSCI,102,In person,2021-03-18,2021-03-23,2021-03-16
1-NS-3150-LEC-1835373-1,NS 3150,NUTRSCI,101,In person,2021-03-23,2021-03-25,2021-03-18
1-NS-3150-LEC-1835373-2,NS 3150,NUTRSCI,101,In person,2021-05-04,2021-05-06,2021-04-29
1-NS-3410-LEC-1837510-1,NS 3410,NUTRSCI,239,Online,2021-03-02,2021-03-04,2021-02-25
1-NS-3410-LEC-1837510-2,NS 3410,NUTRSCI,239,Online,2021-03-25,2021-03-23,2021-03-30
1-NS-3410-LEC-1837510-3,NS 3410,NUTRSCI,239,Online,2021-04-15,2021-04-20,2021-04-13
1-ENGRD-2700-LEC-1292845-1,ENGRD 2700,ORIE,220,In person,2021-03-30,2021-03-25,2021-04-01
1-ENGRD-2700-LEC-1292845-2,ENGRD 2700,ORIE,220,In person,2021-04-29,2021-05-04,2021-04-22
1-ORIE-3120-LEC-2449445-1,ORIE 3120,ORIE,245,In person,2021-03-23,2021-03-25,2021-03-18
1-ORIE-3310-LEC-1292845-1,ORIE 3310,ORIE,115,In person,2021-03-30,2021-03-25,2021-04-01
1-ORIE-3310-LEC-1292845-2,ORIE 3310,ORIE,115,In person,2021-04-29,2021-05-04,2021-04-22
1-ORIE-3510-LEC-3203494-1,ORIE 3510,ORIE,110,In person,2021-03-25,2021-03-30,2021-03-23
1-ORIE-4600-LEC-1223442-1,ORIE 4600,ORIE,70,In person,2021-03-18,2021-03-16,2021-03-23
1-ORIE-4600-LEC-1223442-2,ORIE 4600,ORIE,70,In person,2021-04-20,2021-04-15,2021-04-22
1-PAM-2030-LEC-1836103-1,PAM 2030,PAM,103,Online,2021-03-18,2021-03-16,2021-03-23
1-PHIL-3310-LEC-1006885-1,PHIL 3310,PHIL,14,Online,2021-03-18,2021-03-16,2021-03-23
